what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1477830628400
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1477830628400
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1477830628401
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1477830628416
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1477830628419
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1477830628420
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1477830628421
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1477830628423
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1477830628424
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1477830628426
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477830628440
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1477830628441
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477830628443
os,sysinfo,,,"linux",1477830628448
arch,sysinfo,,,"x86_64",1477830628448
ws,sysinfo,,,"gtk",1477830628448
locale,sysinfo,,,"en_US",1477830628448
processors,sysinfo,,,"4",1477830628448
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477830628448
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1477830628448
java.specification.name,sysinfo,,,"Java Platform API Specification",1477830628448
java.specification.vendor,sysinfo,,,"Oracle Corporation",1477830628448
java.specification.version,sysinfo,,,"1.8",1477830628448
java.vendor,sysinfo,,,"Oracle Corporation",1477830628448
java.version,sysinfo,,,"1.8.0_111",1477830628448
java.vm.info,sysinfo,,,"mixed mode",1477830628448
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1477830628448
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477830628448
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1477830628448
java.vm.specification.version,sysinfo,,,"1.8",1477830628448
java.vm.vendor,sysinfo,,,"Oracle Corporation",1477830628448
java.vm.version,sysinfo,,,"25.111-b14",1477830628448
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1477830629029
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477830629524
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1477830632947
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1477830633485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477830637956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477830690001
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1477830690144
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477830691902
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1477830698814
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1477830703559
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1477830708674
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1477830711164
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477830732391
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1477830732419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477830738934
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1477830753070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477830753138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477830755691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477830811672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477830824255
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1477830918822
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1477830918851
